num	quantity_flies	line	antibiotic	age	original_infect_status	treatment
10	24	Um37-12	contr	young	uninfected	cold
1	30	Um37-12	tet	young	uninfected	cold
2	26	Um37-12	tet	young	uninfected	cold
3	27	Um37-12	tet	young	uninfected	cold
4	32	Um37-12	tet	young	uninfected	cold
5	29	Um37-12	tet	young	uninfected	cold
6	28	Um37-12	tet	young	uninfected	cold
7	31	Um37-12	tet	young	uninfected	cold
8	30	Um37-12	tet	young	uninfected	cold
9	29	Um37-12	tet	young	uninfected	cold
10	29	Um37-12	tet	young	uninfected	cold
1	27	Um37-12	contr	aged	uninfected	cold
2	20	Um37-12	contr	aged	uninfected	cold
3	28	Um37-12	contr	aged	uninfected	cold
4	21	Um37-12	contr	aged	uninfected	cold
5	23	Um37-12	contr	aged	uninfected	cold
6	29	Um37-12	contr	aged	uninfected	cold
7	25	Um37-12	contr	aged	uninfected	cold
8	30	Um37-12	contr	aged	uninfected	cold
9	24	Um37-12	contr	aged	uninfected	cold
10	21	Um37-12	contr	aged	uninfected	cold
1	29	Um37-12	tet	aged	uninfected	cold
2	23	Um37-12	tet	aged	uninfected	cold
3	23	Um37-12	tet	aged	uninfected	cold
4	30	Um37-12	tet	aged	uninfected	cold
5	24	Um37-12	tet	aged	uninfected	cold
6	29	Um37-12	tet	aged	uninfected	cold
7	23	Um37-12	tet	aged	uninfected	cold
8	20	Um37-12	tet	aged	uninfected	cold
9	28	Um37-12	tet	aged	uninfected	cold
10	21	Um37-12	tet	aged	uninfected	cold
1	30	Um16-12	contr	young	wMel	cold
2	28	Um16-12	contr	young	wMel	cold
3	29	Um16-12	contr	young	wMel	cold
4	30	Um16-12	contr	young	wMel	cold
5	21	Um16-12	contr	young	wMel	cold
6	27	Um16-12	contr	young	wMel	cold
7	29	Um16-12	contr	young	wMel	cold
8	30	Um16-12	contr	young	wMel	cold
9	24	Um16-12	contr	young	wMel	cold
10	28	Um16-12	contr	young	wMel	cold
1	29	Um16-12	tet	young	wMel	cold
2	32	Um16-12	tet	young	wMel	cold
3	33	Um16-12	tet	young	wMel	cold
4	22	Um16-12	tet	young	wMel	cold
5	32	Um16-12	tet	young	wMel	cold
6	30	Um16-12	tet	young	wMel	cold
7	29	Um16-12	tet	young	wMel	cold
8	31	Um16-12	tet	young	wMel	cold
9	28	Um16-12	tet	young	wMel	cold
10	30	Um16-12	tet	young	wMel	cold
1	32	Um16-12	contr	aged	wMel	cold
2	25	Um16-12	contr	aged	wMel	cold
3	34	Um16-12	contr	aged	wMel	cold
4	28	Um16-12	contr	aged	wMel	cold
5	27	Um16-12	contr	aged	wMel	cold
6	31	Um16-12	contr	aged	wMel	cold
7	25	Um16-12	contr	aged	wMel	cold
8	30	Um16-12	contr	aged	wMel	cold
9	29	Um16-12	contr	aged	wMel	cold
10	25	Um16-12	contr	aged	wMel	cold
1	28	Um16-12	tet	aged	wMel	cold
2	32	Um16-12	tet	aged	wMel	cold
3	22	Um16-12	tet	aged	wMel	cold
4	25	Um16-12	tet	aged	wMel	cold
5	30	Um16-12	tet	aged	wMel	cold
6	24	Um16-12	tet	aged	wMel	cold
7	19	Um16-12	tet	aged	wMel	cold
8	23	Um16-12	tet	aged	wMel	cold
9	31	Um16-12	tet	aged	wMel	cold
10	25	Um16-12	tet	aged	wMel	cold
1	23	Um8-12	contr	young	wMel	cold
2	28	Um8-12	contr	young	wMel	cold
3	22	Um8-12	contr	young	wMel	cold
4	21	Um8-12	contr	young	wMel	cold
5	26	Um8-12	contr	young	wMel	cold
6	29	Um8-12	contr	young	wMel	cold
7	28	Um8-12	contr	young	wMel	cold
8	24	Um8-12	contr	young	wMel	cold
9	21	Um8-12	contr	young	wMel	cold
10	27	Um8-12	contr	young	wMel	cold
1	28	Um8-12	tet	young	wMel	cold
2	24	Um8-12	tet	young	wMel	cold
3	19	Um8-12	tet	young	wMel	cold
4	26	Um8-12	tet	young	wMel	cold
5	NA	Um8-12	tet	young	wMel	cold
6	NA	Um8-12	tet	young	wMel	cold
7	NA	Um8-12	tet	young	wMel	cold
8	26	Um8-12	tet	young	wMel	cold
9	21	Um8-12	tet	young	wMel	cold
10	29	Um8-12	tet	young	wMel	cold
1	30	Um8-12	contr	aged	wMel	cold
2	27	Um8-12	contr	aged	wMel	cold
3	42	Um8-12	contr	aged	wMel	cold
4	31	Um8-12	contr	aged	wMel	cold
5	40	Um8-12	contr	aged	wMel	cold
6	33	Um8-12	contr	aged	wMel	cold
7	40	Um8-12	contr	aged	wMel	cold
8	39	Um8-12	contr	aged	wMel	cold
9	30	Um8-12	contr	aged	wMel	cold
10	32	Um8-12	contr	aged	wMel	cold
1	24	Um8-12	tet	aged	wMel	cold
2	27	Um8-12	tet	aged	wMel	cold
3	29	Um8-12	tet	aged	wMel	cold
4	28	Um8-12	tet	aged	wMel	cold
5	23	Um8-12	tet	aged	wMel	cold
6	30	Um8-12	tet	aged	wMel	cold
7	25	Um8-12	tet	aged	wMel	cold
8	19	Um8-12	tet	aged	wMel	cold
9	22	Um8-12	tet	aged	wMel	cold
10	21	Um8-12	tet	aged	wMel	cold
1	NA	Um22-12	contr	young	wMelCS	cold
2	NA	Um22-12	contr	young	wMelCS	cold
3	NA	Um22-12	contr	young	wMelCS	cold
4	NA	Um22-12	contr	young	wMelCS	cold
5	NA	Um22-12	contr	young	wMelCS	cold
6	NA	Um22-12	contr	young	wMelCS	cold
7	NA	Um22-12	contr	young	wMelCS	cold
8	NA	Um22-12	contr	young	wMelCS	cold
9	NA	Um22-12	contr	young	wMelCS	cold
10	NA	Um22-12	contr	young	wMelCS	cold
1	NA	Um22-12	tet	young	wMelCS	cold
2	NA	Um22-12	tet	young	wMelCS	cold
3	NA	Um22-12	tet	young	wMelCS	cold
4	NA	Um22-12	tet	young	wMelCS	cold
5	NA	Um22-12	tet	young	wMelCS	cold
6	NA	Um22-12	tet	young	wMelCS	cold
7	NA	Um22-12	tet	young	wMelCS	cold
8	NA	Um22-12	tet	young	wMelCS	cold
9	NA	Um22-12	tet	young	wMelCS	cold
10	NA	Um22-12	tet	young	wMelCS	cold
1	NA	Um22-12	contr	aged	wMelCS	cold
2	NA	Um22-12	contr	aged	wMelCS	cold
3	NA	Um22-12	contr	aged	wMelCS	cold
4	NA	Um22-12	contr	aged	wMelCS	cold
5	NA	Um22-12	contr	aged	wMelCS	cold
6	NA	Um22-12	contr	aged	wMelCS	cold
7	NA	Um22-12	contr	aged	wMelCS	cold
8	NA	Um22-12	contr	aged	wMelCS	cold
9	NA	Um22-12	contr	aged	wMelCS	cold
10	NA	Um22-12	contr	aged	wMelCS	cold
1	NA	Um22-12	tet	aged	wMelCS	cold
2	NA	Um22-12	tet	aged	wMelCS	cold
3	NA	Um22-12	tet	aged	wMelCS	cold
4	NA	Um22-12	tet	aged	wMelCS	cold
5	NA	Um22-12	tet	aged	wMelCS	cold
6	NA	Um22-12	tet	aged	wMelCS	cold
7	NA	Um22-12	tet	aged	wMelCS	cold
8	NA	Um22-12	tet	aged	wMelCS	cold
9	NA	Um22-12	tet	aged	wMelCS	cold
10	NA	Um22-12	tet	aged	wMelCS	cold
